数据库：季度数据
时间：最近13季度
指标,2021年第一季度,2020年第四季度,2020年第三季度,2020年第二季度,2020年第一季度,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度,2018年第三季度,2018年第二季度,2018年第一季度
全体居民人均生活用品及服务消费支出_累计增长(%),,9.0,1.7,-2.6,-10.5,4.0,3.2,6.6,4.5,7.5,7.8,10.4,4.3
全体居民人均交通通信消费支出_累计值(元),,2631,1940,1259,604,2633,1947,1332,710,2545,1808,1224,652
全体居民人均交通通信消费支出_累计增长(%),,-0.1,-0.3,-5.5,-14.9,3.4,7.7,8.8,8.8,10.2,11.3,12.7,15.5
全体居民人均教育文化娱乐消费支出_累计值(元),,2121,1332,740,353,2312,1652,1068,590,2088,1448,934,514
全体居民人均教育文化娱乐消费支出_累计增长(%),,-8.3,-19.3,-30.7,-40.1,10.7,14.0,14.4,14.8,4.8,6.3,12.2,7.0
全体居民人均医疗保健消费支出_累计值(元),,2102,1605,1029,450,1925,1391,954,474,1660,1264,860,444
全体居民人均医疗保健消费支出_累计增长(%),,9.1,15.4,7.9,-5.0,16.0,10.1,11.0,6.7,12.8,14.0,16.6,27.3
全体居民人均其他用品和服务消费支出_累计值(元),,502,353,243,114,501,362,269,147,443,343,231,137
全体居民人均其他用品和服务消费支出_累计增长(%),,0.1,-2.5,-9.4,-22.4,13.2,5.4,16.4,7.3,11.2,8.2,3.1,5.4
城镇常住居民人均可支配收入_累计值(元),,40006,30834,20747,11158,37939,29252,19963,11068,34889,26925,18359,10196
城镇常住居民人均可支配收入_累计增长(%),,5.4,5.4,3.9,0.8,8.7,8.6,8.7,8.5,8.4,8.4,8.5,8.6
城镇常住居民人均可支配工资性收入_累计值(元),,23353,17849,12133,6530,22119,16951,11719,6380,20054,15427,10599,5784
城镇常住居民人均可支配工资性收入_累计增长(%),,5.6,5.3,3.5,2.4,10.3,9.9,10.6,10.3,9.4,9.6,9.6,8.7
城镇常住居民人均可支配经营净收入_累计值(元),,4480,3877,2562,1472,4361,3708,2621,1570,3973,3391,2381,1439
城镇常住居民人均可支配经营净收入_累计增长(%),,2.7,4.5,-2.3,-6.2,9.8,9.4,10.1,9.1,7.8,10.8,9.0,7.0
城镇常住居民人均可支配财产净收入_累计值(元),,2860,2057,1384,758,2724,1995,1326,744,2536,1887,1254,679
城镇常住居民人均可支配财产净收入_累计增长(%),,5.0,3.1,4.4,1.9,7.4,5.7,5.7,9.5,6.8,6.9,6.0,1.5
城镇常住居民人均可支配转移净收入_累计值(元),,9313,7051,4668,2399,8734,6598,4296,2375,8326,6220,4124,2293
城镇常住居民人均可支配转移净收入_累计增长(%),,6.6,6.9,8.7,1.0,4.9,6.1,4.2,3.6,6.8,4.8,6.5,11.8
城镇常住居民人均生活消费支出_累计值(元),,26464,19042,12549,6321,25785,19005,13156,7204,24154,17816,12195,6839
城镇常住居民人均生活消费支出_累计增长(%),,2.6,0.2,-4.6,-12.2,6.8,6.7,7.9,5.3,6.1,6.5,6.6,6.8
城镇常住居民人均食品烟酒消费支出_累计值(元),,8619,6383,4329,2332,8035,5969,4130,2335,7598,5550,3865,2249
城镇常住居民人均食品烟酒消费支出_累计增长(%),,7.3,6.9,4.8,-0.1,5.8,7.6,6.8,3.8,4.0,4.3,2.7,3.1
城镇常住居民人均衣着消费支出_累计值(元),,1918,1267,917,502,2015,1492,1200,736,2010,1489,1193,765
城镇常住居民人均衣着消费支出_累计增长(%),,-4.8,-15.1,-23.6,-31.9,0.3,0.2,0.6,-3.8,3.0,1.7,3.5,1.9
城镇常住居民人均居住消费支出_累计值(元),,4971,3661,2446,1214,4734,3472,2319,1210,4325,3228,2118,1091
城镇常住居民人均居住消费支出_累计增长(%),,5.0,5.4,5.5,0.3,9.5,7.6,9.5,10.9,9.2,8.7,7.0,6.3
城镇常住居民人均生活用品及服务消费支出_累计值(元),,1897,1311,856,406,1746,1295,892,459,1713,1291,860,445
城镇常住居民人均生活用品及服务消费支出_累计增长(%),,8.6,1.2,-4.1,-11.6,2.0,0.3,3.8,3.1,7.6,6.7,10.8,4.5
城镇常住居民人均交通通信消费支出_累计值(元),,3291,2481,1560,763,3318,2459,1690,915,3248,2341,1574,866
城镇常住居民人均交通通信消费支出_累计增长(%),,-0.8,0.9,-7.7,-16.6,2.1,5.1,7.4,5.7,8.6,10.0,9.3,13.2
城镇常住居民人均教育文化娱乐消费支出_累计值(元),,2648,1670,935,450,2894,2128,1374,751,2589,1869,1183,658
城镇常住居民人均教育文化娱乐消费支出_累计增长(%),,-8.5,-21.5,-32.0,-40.1,11.8,13.9,16.1,14.0,2.4,5.3,10.7,7.8
城镇常住居民人均医疗保健消费支出_累计值(元),,2445,1808,1195,515,2359,1697,1189,603,2055,1566,1091,581
城镇常住居民人均医疗保健消费支出_累计增长(%),,3.7,6.5,0.5,-14.7,14.8,8.4,9.0,3.8,9.1,9.2,12.4,23.6
城镇常住居民人均其他用品和服务消费支出_累计值(元),,675,461,312,140,684,490,361,194,617,481,312,182
城镇常住居民人均其他用品和服务消费支出_累计增长(%),,-1.3,-6.1,-13.5,-28.0,10.8,1.9,15.8,6.9,12.7,11.4,6.0,6.0
农村常住居民人均可支配收入_累计值(元),,16361,12265,7989,4423,15133,11366,7528,4335,13781,10367,6897,3979
农村常住居民人均可支配收入_累计增长(%),,8.1,7.9,6.1,2.0,9.8,9.6,9.1,8.9,9.0,8.9,8.9,9.0
农村常住居民人均可支配工资性收入_累计值(元),,5740,4977,3420,1917,5317,4608,3235,1868,4848,4212,2951,1688
农村常住居民人均可支配工资性收入_累计增长(%),,8.0,8.0,5.7,2.6,9.7,9.4,9.6,10.6,10.3,10.9,10.6,9.1
农村常住居民人均可支配经营净收入_累计值(元),,5566,3352,2176,1437,5210,3151,2095,1472,4813,2888,1943,1378
农村常住居民人均可支配经营净收入_累计增长(%),,6.8,6.4,3.9,-2.4,8.2,9.1,7.8,6.8,7.2,6.6,6.1,6.5
农村常住居民人均可支配财产净收入_累计值(元),,406,309,223,134,367,281,201,121,335,253,186,113
农村常住居民人均可支配财产净收入_累计增长(%),,10.5,9.9,10.9,11.0,9.8,11.3,7.8,6.5,8.7,5.7,12.1,8.0
农村常住居民人均可支配转移净收入_累计值(元),,4649,3626,2170,936,4240,3326,1998,874,3786,3015,1817,799
农村常住居民人均可支配转移净收入_累计增长(%),,9.7,9.0,8.6,7.1,12.0,10.3,10.0,9.4,9.9,8.8,9.0,13.7
农村常住居民人均生活消费支出_累计值(元),,14140,9344,6203,3285,13112,8748,5924,3299,11977,7821,5348,2979
农村常住居民人均生活消费支出_累计增长(%),,7.8,6.8,4.7,-0.4,9.5,11.9,10.8,10.7,9.5,10.7,13.0,13.0
农村常住居民人均食品烟酒消费支出_累计值(元),,5183,2979,2032,1248,4575,2567,1746,1091,4180,2319,1599,1002
农村常住居民人均食品烟酒消费支出_累计增长(%),,13.3,16.0,16.4,14.4,9.4,10.7,9.2,8.8,4.7,5.7,4.6,9.0
农村常住居民人均衣着消费支出_累计值(元),,736,514,378,230,692,494,378,257,631,450,351,234
农村常住居民人均衣着消费支出_累计增长(%),,6.5,4.0,-0.1,-10.2,9.6,9.8,7.7,9.6,5.5,9.0,12.4,19.5
农村常住居民人均居住消费支出_累计值(元),,2631,1796,1213,601,2501,1815,1228,615,2274,1622,1092,565
农村常住居民人均居住消费支出_累计增长(%),,5.2,-1.1,-1.2,-2.2,10.0,11.9,12.5,8.8,15.6,15.4,19.9,18.3
农村常住居民人均生活用品及服务消费支出_累计值(元),,919,663,438,209,852,655,437,227,785,593,384,212
农村常住居民人均生活用品及服务消费支出_累计增长(%),,7.9,1.2,0.2,-8.1,8.5,10.6,13.7,6.9,4.8,8.5,6.5,1.7
农村常住居民人均交通通信消费支出_累计值(元),,1592,1105,794,362,1586,1179,794,403,1503,1034,716,343
农村常住居民人均交通通信消费支出_累计增长(%),,0.4,-6.3,-0.0,-10.0,5.5,14.0,10.9,17.3,12.6,12.7,21.5,20.5
农村常住居民人均教育文化娱乐消费支出_累计值(元),,1290,810,440,206,1423,936,610,349,1345,836,571,304
农村常住居民人均教育文化娱乐消费支出_累计增长(%),,-9.3,-13.5,-27.8,-40.9,5.8,12.0,6.7,14.8,9.7,6.9,14.3,2.2
农村常住居民人均医疗保健消费支出_累计值(元),,1560,1292,773,353,1262,932,601,281,1075,824,523,245
农村常住居民人均医疗保健消费支出_累计增长(%),,23.6,38.5,28.5,25.7,17.4,13.2,15.0,14.4,21.6,26.4,27.9,37.1
农村常住居民人均其他用品和服务消费支出_累计值(元),,228,187,136,75,222,169,129,77,185,143,112,73
农村常住居民人均其他用品和服务消费支出_累计增长(%),,2.7,10.2,5.5,-1.9,20.3,18.6,15.1,5.6,0.3,-8.4,-9.7,0.4
数据来源：重庆统计局
