数据库：季度数据
时间：最近13季度
指标,2021年第一季度,2020年第四季度,2020年第三季度,2020年第二季度,2020年第一季度,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度,2018年第三季度,2018年第二季度,2018年第一季度
民政部门资助参保人数_累计增长(%),,,,,,,,,,,,,
民政部门资助参合人数_累计值(万人),,,,,,,,,,,,,
民政部门资助参合人数_累计增长(%),,,,,,,,,,,,,
民政部门直接救助人次数_累计值(万人次),,507.24,390.33,269.25,138.32,519.88,402.37,287.37,140.06,495.32,380.76,260.81,137.04
民政部门直接救助人次数_累计增长(%),,-2.4,-3.0,-6.3,-1.2,5.0,5.7,10.2,2.2,4.4,5.3,2.8,17.3
医疗救助直接支出_累计值(万元),,119295.00,90508.00,36028.00,29600.00,128755.00,100657.00,69177.86,3.32,129441.52,99995.00,68249.00,34353.50
医疗救助直接支出_累计增长(%),,-7.3,-10.1,-47.9,-10.8,-0.5,0.7,1.4,,10.0,17.2,19.3,31.8
资助参加医疗保险_累计值(万元),,36849.00,35973.00,59745.00,35839.00,34826.00,34367.00,34075.17,3.40,30159.41,29519.60,,
资助参加医疗保险_累计增长(%),,5.8,4.7,75.3,5.4,15.5,16.4,,,29.0,30.0,,
资助参加医疗合作_累计值(万元),,,,,,,,,,,,,
资助参加医疗合作_累计增长(%),,,,,,,,,,,,,
城镇企业职工基本养老保险参保人数_累计值(万人),,1203.35,1174.09,1141.88,1132.28,1127.72,1101.44,1076.95,1063.53,1051.19,1024.47,1011.07,894.15
城镇企业职工基本养老保险参保人数_累计增长(%),,6.7,6.6,6.0,6.5,7.3,7.5,6.5,6.6,6.3,4.8,4.1,3.3
城镇职工基本医疗保险参保人数_累计值(万人),,766.98,764.38,728.66,716.34,720.63,703.65,689.79,678.05,678.31,664.73,651.76,642.05
城镇职工基本医疗保险参保人数_累计增长(%),,6.4,8.6,5.6,5.6,6.2,5.9,5.8,5.6,5.9,5.7,6.4,6.4
参加失业保险职工人数_累计值(万人),,548.48,533.51,521.30,,514.95,505.03,496.37,490.58,489.78,482.50,473.74,469.30
参加失业保险职工人数_累计增长(%),,6.5,5.6,5.0,,5.1,4.7,4.8,4.5,5.0,5.2,5.2,5.3
工伤保险参保人数_累计值(万人),,726.71,713.24,686.14,649.34,661.67,637.60,609.06,586.44,577.12,559.33,534.11,510.12
工伤保险参保人数_累计增长(%),,9.8,11.9,12.7,10.7,14.7,14.0,14.0,15.0,14.4,13.9,13.0,11.2
生育保险参保人数_累计值(万人),,505.79,488.87,475.19,467.34,466.95,454.31,444.38,441.08,439.49,429.80,420.12,414.71
生育保险参保人数_累计增长(%),,8.3,7.6,6.9,6.0,6.2,5.7,5.8,6.4,6.8,6.6,12.4,13.0
生育保险享受待遇人次_累计值(万人次),,26.95,17.81,11.63,4.53,29.35,20.84,12.97,5.95,26.91,19.44,12.06,5.63
生育保险享受待遇人次_累计增长(%),,-8.2,-14.5,-10.3,-23.9,9.1,7.2,7.5,5.6,1.4,2.4,0.9,-5.1
城镇新增就业人员_累计值(万人),,65.56,49.22,32.10,11.01,75.16,60.72,44.70,15.24,75.30,58.57,42.36,14.81
城镇新增就业人员_累计增长(%),,-12.8,-18.9,-28.2,-27.8,-0.2,3.7,5.5,2.9,1.4,0.7,0.5,0.1
城镇登记失业率_累计值(%),,4.5,3.8,2.7,2.6,2.6,2.3,1.8,2.5,3.3,3.4,3.5,3.4
城镇登记失业率_累计增长(%),,1.9,1.5,0.9,0.1,,,,-0.9,-0.1,0.0,0.1,0.0
职业技能培训人数_累计值(万人次),,67.06,35.16,11.28,3.94,103.10,74.20,47.40,22.60,132.30,103.90,82.50,
职业技能培训人数_累计增长(%),,33.3,,,,,,,-5.0,-27.2,-26.3,-14.1,
专利申请量_累计值(件),,86605,59549,35605,15531,67271,50177,30756,16409,72121,55231,36585,20376
专利申请量_累计增长(%),,28.7,18.7,15.8,-5.4,-6.7,-9.2,-15.9,-19.5,11.6,19.3,23.0,26.6
专利授权量_累计值(件),,55377,40138,23845,7944,43870,34411,21923,11125,45688,34459,23068,10937
专利授权量_累计增长(%),,26.2,16.6,8.8,-28.6,-4.0,-0.1,-5.0,1.7,31.4,37.5,36.8,39.2
农产品生产者价格指数(上年同期=100)(%),,113.6,116.9,122.5,132.0,112.1,107.1,105.1,103.4,99.7,99.0,96.1,93.5
农业产品生产者价格指数(上年同期=100)(%),,105.8,103.2,102.7,103.9,102.1,102.4,101.9,100.6,106.3,104.9,101.4,98.1
谷物生产者价格指数(上年同期=100)(%),,102.6,102.3,100.1,101.7,99.5,99.1,99.5,99.7,101.8,101.2,102.0,100.3
稻谷生产者价格指数(上年同期=100)(%),,100.1,99.6,97.6,100.0,99.6,98.2,98.3,97.6,100.3,99.8,99.6,99.7
玉米生产者价格指数(上年同期=100)(%),,107.8,107.6,104.6,104.6,99.4,100.8,101.7,103.3,104.9,103.2,105.8,106.5
蔬菜生产者价格指数(上年同期=100)(%),,112.8,109.1,108.6,112.3,100.3,101.4,102.2,100.1,109.0,107.6,99.5,97.3
水果生产者价格指数(上年同期=100)(%),,96.3,95.8,97.7,95.5,104.9,104.6,102.4,100.2,98.1,93.3,105.7,110.2
林业产品生产者价格指数(上年同期=100)(%),,100.1,101.2,101.2,100.0,97.2,98.6,98.6,97.8,92.9,85.9,85.9,79.8
畜牧业产品生产者价格指数(上年同期=100)(%),,130.5,146.5,156.0,167.9,133.7,118.9,111.8,108.1,94.6,92.8,91.3,91.8
生猪（毛重）生产者价格指数(上年同期=100)(%),,151.6,185.8,201.5,217.5,155.5,130.2,119.0,112.6,89.6,83.8,80.2,81.4
家禽（毛重）生产者价格指数(上年同期=100)(%),,97.9,98.7,99.9,99.9,106.1,103.4,100.3,101.4,103.6,106.2,109.1,107.7
禽蛋生产者价格指数(上年同期=100)(%),,89.6,89.2,93.0,97.5,102.0,100.1,97.6,94.7,104.4,104.9,108.8,111.7
渔业产品生产者价格指数(上年同期=100)(%),,106.6,106.9,108.9,106.4,101.4,100.0,98.9,96.0,99.7,103.9,102.0,103.4
数据来源：重庆统计局
