,10cm湿度(kg/m2),40cm湿度(kg/m2),100cm湿度(kg/m2),200cm湿度(kg/m2)
2018-04-01,13.884641110683097,,,
2018-05-01,14.128537094326727,,,
2018-06-01,15.758964498388757,,,
2018-07-01,19.740388417696586,,,
2018-08-01,17.15453748132729,,,
2018-09-01,15.929600727841365,,,
2018-10-01,14.074223498360476,,,
2018-11-01,13.633277819858524,,,
2018-12-01,13.190551117927193,,,
2019-01-01,12.807768677198748,,,
2019-02-01,12.343542441697632,,,
2019-03-01,11.10535199566204,,,
2019-04-01,12.481181594430524,,,
2019-05-01,15.165974384510886,,,
2019-06-01,16.668801383899194,,,
2019-07-01,16.96688505442362,,,
2019-08-01,16.69532574929338,,,
2019-09-01,13.668332687249006,,,
2019-10-01,13.303555732608542,,,
2019-11-01,12.643519323557602,,,
2019-12-01,12.29351107523362,,,
2020-01-01,12.560313266174038,,,
2020-02-01,11.570206620006113,,,
2020-03-01,13.035523531039868,,,
2020-04-01,13.026178935337581,,,
2020-05-01,16.321880453610273,,,
2020-06-01,16.917382951456048,,,
2020-07-01,20.509511506709114,,,
2020-08-01,18.72786444832681,,,
2020-09-01,16.138121940003277,,,
2020-10-01,14.336136509561609,,,
2020-11-01,12.535831618461845,,,
2020-12-01,13.525873816228408,,,
2021-01-01,12.348736123779865,,,
2021-02-01,12.086869196497954,,,
2021-03-01,13.102011379687177,,,
2021-04-01,13.805568056202652,,,
2021-05-01,14.547519570168383,,,
2021-06-01,17.57333837208894,,,
2021-07-01,20.127390372604253,,,
2021-08-01,17.27893741626958,,,
2021-09-01,16.48172941106581,,,
2021-10-01,14.25631615888971,,,
2021-11-01,12.97109563748432,,,
2021-12-01,12.36363446445909,,,
2022-01-01,12.345895315186414,,,
2022-02-01,12.321917101855842,,,
2022-03-01,12.581656549311962,,,
2022-04-30,12.935455268629486,,,
2022-05-31,10.554260194483346,,,
2022-06-30,13.16470915196333,,,
2022-07-31,12.85707413403475,,,
2022-08-31,14.146791747191141,,,
2022-09-30,22.51796086180738,,,
2022-10-31,20.79074998060213,,,
2022-11-30,14.732357142453033,,,
2022-12-31,14.858785786698121,,,
2023-01-31,13.895644966855157,,,
2023-02-28,12.920295905889986,,,
2023-03-31,12.22033380923425,,,
2023-04-30,12.224322471198015,,,
2023-05-31,12.450428512225834,,,
2023-06-30,13.133231946222043,,,
2023-07-31,14.183624710369735,,,
2023-08-31,16.795657614902538,,,
2023-09-30,20.687025571115182,,,
2023-10-31,18.70519554400218,,,
2023-11-30,15.821440032106882,,,
2023-12-31,13.491214292530593,,,
2012-01-01,,30.86949749961984,,
2012-02-01,,30.870086969746755,,
2012-03-01,,30.94553759455348,,
2012-04-01,,31.2323977856654,,
2012-05-01,,29.595463995616377,,
2012-06-01,,33.21321018813597,,
2012-07-01,,46.14522374400549,,
2012-08-01,,50.801686632993,,
2012-09-01,,42.85417148796763,,
2012-10-01,,45.99741062580213,,
2012-11-01,,41.91855365169105,,
2012-12-01,,42.67464072008471,,
2013-01-01,,42.710127300265505,,
2013-02-01,,42.710087072080746,,
2013-03-01,,42.78553769560395,,
2013-04-01,,43.06239788082887,,
2013-05-01,,41.46546411274976,,
2013-06-01,,43.88321040112028,,
2013-07-01,,55.26522389808043,,
2013-08-01,,49.971686530825174,,
2013-09-01,,46.004171571494695,,
2013-10-01,,38.59741061630599,,
2013-11-01,,34.75855362254125,,
2013-12-01,,35.19464061221229,,
2014-01-01,,35.220127198707544,,
2014-02-01,,35.220086970938496,,
2014-03-01,,35.29553759300945,,
2014-04-01,,36.55239776519687,,
2014-05-01,,41.19546396460086,,
2014-06-01,,45.193210457427405,,
2014-07-01,,56.2952238004541,,
2014-08-01,,40.00168658879782,,
2014-09-01,,33.44417136620131,,
2014-10-01,,30.037410504663818,,
2014-11-01,,33.16855351613029,,
2014-12-01,,35.75464054785488,,
2015-01-01,,35.810127181621546,,
2015-02-01,,35.81008695484949,,
2015-03-01,,35.885537592115796,,
2015-04-01,,36.15239784022863,,
2015-05-01,,34.49546390509026,,
2015-06-01,,37.933210432113164,,
2015-07-01,,46.01522345312317,,
2015-08-01,,38.13168651040467,,
2015-09-01,,36.864171293090756,,
2015-10-01,,39.51741059468619,,
2015-11-01,,45.95855354793946,,
2015-12-01,,44.51464064985261,,
2016-01-01,,44.440127251662666,,
2016-02-01,,44.44008702339265,,
2016-03-01,,44.515537659036816,,
2016-04-01,,44.79239790143734,,
2016-05-01,,42.93546398790703,,
2016-06-01,,45.613210526029945,,
2016-07-01,,50.125223461760875,,
2016-08-01,,40.5316866139984,,
2016-09-01,,31.124171388835848,,
2016-10-01,,33.54741059347823,,
2016-11-01,,46.14855326890973,,
2016-12-01,,46.7246406355425,,
2017-01-01,,46.76012725298377,,
2017-02-01,,46.76008702551428,,
2017-03-01,,46.83553765970619,,
2017-04-01,,47.11239789273972,,
2017-05-01,,45.14546399394138,,
2017-06-01,,47.07321050655029,,
2017-07-01,,44.785223463175726,,
2017-08-01,,31.48168652539345,,
2017-09-01,,36.384171313160934,,
2017-10-01,,35.527410841779194,,
2017-11-01,,33.27855317661681,,
2017-12-01,,34.01464046666105,,
2018-01-01,,34.05012709629028,,
2018-02-01,,34.050086869424305,,
2018-03-01,,34.12553750216395,,
2018-04-01,,34.38239772412692,,
2018-05-01,,32.70546382738077,,
2018-06-01,,36.443210208959705,,
2018-07-01,,41.79522327065505,,
2018-08-01,,44.88168660176778,,
2018-09-01,,50.43417128772129,,
2018-10-01,,50.077410954869734,,
2018-11-01,,47.56855335122076,,
2018-12-01,,46.06464060076373,,
2019-01-01,,46.070127200477756,,
2019-02-01,,46.07008697365193,,
2019-03-01,,46.14553760459956,,
2019-04-01,,46.412397820850224,,
2019-05-01,,44.53546395131794,,
2019-06-01,,47.93321028362328,,
2019-07-01,,50.46522354593611,,
2019-08-01,,40.33168677784762,,
2019-09-01,,38.564171136555274,,
2019-10-01,,37.627410791118294,,
2019-11-01,,32.41855322811269,,
2019-12-01,,33.74464042067274,,
2020-01-01,,33.85012704757397,,
2020-02-01,,33.8500868227199,,
2020-03-01,,33.925537452045376,,
2020-04-01,,34.20239765884652,,
2020-05-01,,32.51546381449885,,
2020-06-01,,37.243210051322556,,
2020-07-01,,46.62522333127396,,
2020-08-01,,51.93168668595842,,
2020-09-01,,54.54417117333404,,
2020-10-01,,56.99741085175214,,
2020-11-01,,52.30855350732224,,
2020-12-01,,50.62464061124401,,
2021-01-01,,50.40012720389045,,
2021-02-01,,50.40008697463205,,
2021-03-01,,50.47553760250528,,
2021-04-01,,50.7423978029098,,
2021-05-01,,48.70546400413526,,
2021-06-01,,50.993210240852505,,
2021-07-01,,54.255223626829924,,
2021-08-01,,57.031686675219454,,
2021-09-01,,54.02417120739624,,
2021-10-01,,59.587410692257436,,
2021-11-01,,54.26855355942364,,
2021-12-01,,52.13464063747752,,
2022-01-01,,52.140127199400915,,
2022-02-01,,52.14008697064839,,
2022-03-01,,52.21553759689948,,
2022-04-01,,52.4923977851365,,
2022-05-01,,51.35786177738415,,
2022-06-01,,54.58107197489587,,
2022-07-01,,61.206295773038,,
2022-08-01,,56.537982418438794,,
2022-09-01,,54.45215369533187,,
2022-10-01,,54.77956424341252,,
2022-11-01,,54.20811773574694,,
2022-12-01,,54.17275836871019,,
2023-01-01,,54.172885567215886,,
2023-02-01,,54.17297253696126,,
2023-03-01,,54.24851013296018,,
2023-04-01,,54.61090791649039,,
2023-05-01,,53.476371908738045,,
2023-06-01,,56.69958210624976,,
2023-07-01,,63.324805904391894,,
2023-08-01,,58.65649254979269,,
2023-09-01,,56.57066382668577,,
2023-10-01,,56.89807437476641,,
2023-11-01,,56.326627867100825,,
2023-12-01,,56.291268500064085,,
2012-01-01,,,42.7900752892166,
2012-02-01,,,42.82937209760431,
2012-03-01,,,42.57310877660994,
2012-04-01,,,42.79983046804687,
2012-05-01,,,42.484637900557175,
2012-06-01,,,41.1873240108075,
2012-07-01,,,49.957590589435874,
2012-08-01,,,62.34026999604503,
2012-09-01,,,63.17868241122319,
2012-10-01,,,55.0765298996123,
2012-11-01,,,53.80687213402158,
2012-12-01,,,54.566091828915056,
2013-01-01,,,54.942221812784304,
2013-02-01,,,54.61396441434869,
2013-03-01,,,54.649317675599605,
2013-04-01,,,54.9425978811701,
2013-05-01,,,54.72132485404175,
2013-06-01,,,52.635431794496746,
2013-07-01,,,60.897094222797406,
2013-08-01,,,67.07301703911253,
2013-09-01,,,56.39741597799285,
2013-10-01,,,53.657344233289486,
2013-11-01,,,50.45589716814498,
2013-12-01,,,50.8691756624355,
2014-01-01,,,52.24113664438256,
2014-02-01,,,52.50935538821142,
2014-03-01,,,52.47905464703329,
2014-04-01,,,52.62934889583641,
2014-05-01,,,52.16353517677586,
2014-06-01,,,51.46471085691701,
2014-07-01,,,61.73675414815299,
2014-08-01,,,54.909794341200836,
2014-09-01,,,41.314534795049234,
2014-10-01,,,42.00732498669106,
2014-11-01,,,43.46844016274126,
2014-12-01,,,43.363157457841965,
2015-01-01,,,43.967382555159894,
2015-02-01,,,44.31700840302987,
2015-03-01,,,44.318422119170094,
2015-04-01,,,44.37249350293718,
2015-05-01,,,44.219100342772116,
2015-06-01,,,44.030613357182645,
2015-07-01,,,49.459303847683,
2015-08-01,,,43.69760143736687,
2015-09-01,,,40.913732504464484,
2015-10-01,,,43.32427273773437,
2015-11-01,,,48.42081153165655,
2015-12-01,,,49.22151475631646,
2016-01-01,,,48.24346507746659,
2016-02-01,,,47.74382404962386,
2016-03-01,,,47.61941757950704,
2016-04-01,,,47.682657902123886,
2016-05-01,,,47.53294653667586,
2016-06-01,,,47.22389292868984,
2016-07-01,,,52.05986639996147,
2016-08-01,,,49.12058984476897,
2016-09-01,,,40.968087378835705,
2016-10-01,,,41.06178368367299,
2016-11-01,,,44.41731991212949,
2016-12-01,,,46.505579500570335,
2017-01-01,,,46.42846052670777,
2017-02-01,,,45.85540895831809,
2017-03-01,,,45.55640537599552,
2017-04-01,,,45.56711087309018,
2017-05-01,,,45.490433023896685,
2017-06-01,,,45.49798145665254,
2017-07-01,,,49.18621221286111,
2017-08-01,,,44.270652343248315,
2017-09-01,,,40.12494902369563,
2017-10-01,,,41.40609741177424,
2017-11-01,,,41.34737147865093,
2017-12-01,,,41.961167071365715,
2018-01-01,,,42.923441222285454,
2018-02-01,,,42.81849333885153,
2018-03-01,,,42.43501405824988,
2018-04-01,,,42.308068916946084,
2018-05-01,,,42.26027475145579,
2018-06-01,,,42.40689986792375,
2018-07-01,,,45.23901491678663,
2018-08-01,,,48.75578368834511,
2018-09-01,,,63.001868880405766,
2018-10-01,,,66.41419271768955,
2018-11-01,,,65.45634197696747,
2018-12-01,,,64.46392778549244,
2019-01-01,,,64.08763345502842,
2019-02-01,,,63.84393066179342,
2019-03-01,,,63.48784415511623,
2019-04-01,,,63.27011910551959,
2019-05-01,,,62.87617798962682,
2019-06-01,,,61.58395353611641,
2019-07-01,,,62.571893781172626,
2019-08-01,,,58.978351996807405,
2019-09-01,,,43.61859257478974,
2019-10-01,,,43.292810125155334,
2019-11-01,,,44.35979849363117,
2019-12-01,,,45.71223039807928,
2020-01-01,,,47.0867921336089,
2020-02-01,,,47.391025008709086,
2020-03-01,,,47.03889104992635,
2020-04-01,,,46.67809325546084,
2020-05-01,,,46.4002055550988,
2020-06-01,,,46.43814678745783,
2020-07-01,,,48.6583802091667,
2020-08-01,,,61.253117206073,
2020-09-01,,,77.5998354870618,
2020-10-01,,,84.69498463222054,
2020-11-01,,,87.29379551103158,
2020-12-01,,,84.76200195982095,
2021-01-01,,,83.09255788770598,
2021-02-01,,,82.61989186577662,
2021-03-01,,,82.3431876662183,
2021-04-01,,,82.01287160640399,
2021-05-01,,,81.08441770122691,
2021-06-01,,,78.4752913631186,
2021-07-01,,,77.01165919942657,
2021-08-01,,,91.0910862655598,
2021-09-01,,,85.6921350046598,
2021-10-01,,,87.49565931872877,
2021-11-01,,,95.76080089869288,
2021-12-01,,,96.33165631445789,
2022-01-01,,,94.49572242578805,
2022-02-01,,,93.5178241630369,
2022-03-01,,,93.1941135208599,
2022-04-01,,,92.89018943606794,
2022-05-01,,,91.79437950948225,
2022-06-01,,,90.83683801763775,
2022-07-01,,,95.31025693147423,
2022-08-01,,,96.85321490381237,
2022-09-01,,,97.57870717867185,
2022-10-01,,,97.90615465438223,
2022-11-01,,,96.5906660759707,
2022-12-01,,,96.43180975289657,
2023-01-01,,,96.70347153551322,
2023-02-01,,,96.88109511899283,
2023-03-01,,,96.79309809440643,
2023-04-01,,,96.28599490913908,
2023-05-01,,,95.19018498255339,
2023-06-01,,,94.23264349070888,
2023-07-01,,,98.70606240454536,
2023-08-01,,,100.24902037688351,
2023-09-01,,,100.97451265174298,
2023-10-01,,,101.30196012745337,
2023-11-01,,,99.98647154904184,
2023-12-01,,,99.8276152259677,
2012-01-01,,,,168.56007369429332
2012-02-01,,,,168.5600607538635
2012-03-01,,,,168.5600201582692
2012-04-01,,,,168.56002584900799
2012-05-01,,,,168.5580318581816
2012-06-01,,,,168.51597635545374
2012-07-01,,,,168.53900399314725
2012-08-01,,,,168.48198559493989
2012-09-01,,,,168.3499531375372
2012-10-01,,,,168.3279854541369
2012-11-01,,,,168.31599189669333
2012-12-01,,,,168.3459902071232
2013-01-01,,,,168.32501895258287
2013-02-01,,,,168.32001654300214
2013-03-01,,,,168.32002015819396
2013-04-01,,,,168.32002584900798
2013-05-01,,,,168.31803185821136
2013-06-01,,,,168.2759763560507
2013-07-01,,,,168.23900399307146
2013-08-01,,,,168.1319855952387
2013-09-01,,,,167.99995313805903
2013-10-01,,,,167.97798545249668
2013-11-01,,,,167.99599189639562
2013-12-01,,,,167.9759902082857
2014-01-01,,,,167.95501895244828
2014-02-01,,,,167.9600165424662
2014-03-01,,,,167.96002015826835
2014-04-01,,,,167.96002584900793
2014-05-01,,,,167.9580318582412
2014-06-01,,,,167.91597635620073
2014-07-01,,,,167.85900399284665
2014-08-01,,,,167.82198559374922
2014-09-01,,,,167.77995313828268
2014-10-01,,,,167.75798545309178
2014-11-01,,,,167.74599189684304
2014-12-01,,,,167.72599020870305
2015-01-01,,,,167.72501895216467
2015-02-01,,,,167.72001654267532
2015-03-01,,,,167.72002015819373
2015-04-01,,,,167.72002584900792
2015-05-01,,,,167.71803185827093
2015-06-01,,,,167.6759763562016
2015-07-01,,,,167.6590039921749
2015-08-01,,,,167.58198559494207
2015-09-01,,,,167.56995313716524
2015-10-01,,,,167.55798545309088
2015-11-01,,,,167.57599189639643
2015-12-01,,,,167.53599021031243
2016-01-01,,,,167.53501895158308
2016-02-01,,,,167.53001654273535
2016-03-01,,,,167.53002015811913
2016-04-01,,,,167.53002584900787
2016-05-01,,,,167.52803185830072
2016-06-01,,,,167.48597635650054
2016-07-01,,,,167.44900399180116
2016-08-01,,,,167.4019855949427
2016-09-01,,,,167.37995313709098
2016-10-01,,,,167.3679854530899
2016-11-01,,,,167.40599189535374
2016-12-01,,,,167.39599021132582
2017-01-01,,,,167.3750189520446
2017-02-01,,,,167.3700165424974
2017-03-01,,,,167.3700201580445
2017-04-01,,,,167.37002584900782
2017-05-01,,,,167.3680318583305
2017-06-01,,,,167.3259763566505
2017-07-01,,,,167.2690039920234
2017-08-01,,,,167.23198559449625
2017-09-01,,,,167.26995313567562
2017-10-01,,,,167.28798545368497
2017-11-01,,,,167.3159918955031
2017-12-01,,,,167.3159902118922
2018-01-01,,,,167.28501895265507
2018-02-01,,,,167.28001654211042
2018-03-01,,,,167.28002015796991
2018-04-01,,,,167.2800258490078
2018-05-01,,,,167.27803185836032
2018-06-01,,,,167.23597635665138
2018-07-01,,,,167.25900399045756
2018-08-01,,,,167.24198559568907
2018-09-01,,,,167.18995313724048
2018-10-01,,,,167.07798545532313
2018-11-01,,,,167.0259918946094
2018-12-01,,,,167.02599021052146
2019-01-01,,,,167.03501895192443
2019-02-01,,,,167.0300165423195
2019-03-01,,,,167.03002015789536
2019-04-01,,,,167.03002584900779
2019-05-01,,,,167.02803185839008
2019-06-01,,,,166.9659763576954
2019-07-01,,,,166.85900399187193
2019-08-01,,,,166.75198559539174
2019-09-01,,,,166.75995313388796
2019-10-01,,,,166.71798545547114
2019-11-01,,,,166.7159918944608
2019-12-01,,,,166.71599021138576
2020-01-01,,,,166.70501895238593
2020-02-01,,,,166.70001654223057
2020-03-01,,,,166.7000201578207
2020-04-01,,,,166.70002584900774
2020-05-01,,,,166.6980318582709
2020-06-01,,,,166.65597635724924
2020-07-01,,,,166.61900399105113
2020-08-01,,,,166.55198559643551
2020-09-01,,,,166.39995313664483
2020-10-01,,,,166.1379854584504
2020-11-01,,,,165.89599189520624
2020-12-01,,,,165.84599020777986
2021-01-01,,,,165.89501894956916
2021-02-01,,,,165.92001654214164
2021-03-01,,,,165.92002015819315
2021-04-01,,,,165.92002584900771
2021-05-01,,,,165.91803185830076
2021-06-01,,,,165.8559763578462
2021-07-01,,,,165.489003997681
2021-08-01,,,,165.19198559494612
2021-09-01,,,,164.83995313627253
2021-10-01,,,,164.55798545546924
2021-11-01,,,,164.3659918940145
2021-12-01,,,,164.42599020462097
2022-01-01,,,,164.47501895047768
2022-02-01,,,,164.48001654309576
2022-03-01,,,,164.48002015826762
2022-04-01,,,,164.4800258490077
2022-05-01,,,,164.47808355619568
2022-06-01,,,,164.43211761893502
2022-07-01,,,,164.36515567674786
2022-08-01,,,,164.28017932844898
2022-09-01,,,,164.19515611594667
2022-10-01,,,,164.1181183595404
2022-11-01,,,,164.07707249947356
2022-12-01,,,,164.07201684668033
2023-01-01,,,,164.07198014524383
2023-02-01,,,,164.07195998697705
2023-03-01,,,,164.07195998697765
2023-04-01,,,,164.071985835985
2023-05-01,,,,164.07004354317303
2023-06-01,,,,164.02407760591237
2023-07-01,,,,163.9571156637252
2023-08-01,,,,163.87213931542632
2023-09-01,,,,163.78711610292402
2023-10-01,,,,163.71007834651775
2023-11-01,,,,163.66903248645087
2023-12-01,,,,163.66397683365767
